SR,5,I
SR,5,II
SR,5,III
SR,5,AVL
SR,5,AVR
SR,5,AVF
SR,5,V1
SR,5,V2
SR,5,V3
SR,5,V4
SR,5,V5
SR,5,V6
SR,7,I
SR,7,II
SR,7,III
SR,7,AVL
SR,7,AVR
SR,7,AVF
SR,7,V1
SR,7,V2
SR,7,V3
SR,7,V4
SR,7,V5
SR,7,V6
AFIB,5,I
AFIB,5,II
AFIB,5,III
AFIB,5,AVL
AFIB,5,AVR
AFIB,5,AVF
AFIB,5,V1
AFIB,5,V2
AFIB,5,V3
AFIB,5,V4
AFIB,5,V5
AFIB,5,V6
AFIB,8,I
AFIB,8,II
AFIB,8,III
AFIB,8,AVL
AFIB,8,AVR
AFIB,8,AVF
AFIB,8,V1
AFIB,8,V2
AFIB,8,V3
AFIB,8,V4
AFIB,8,V5
AFIB,8,V6
PACE,15,I
PACE,15,II
PACE,15,III
PACE,15,AVL
PACE,15,AVR
PACE,15,AVF
PACE,15,V1
PACE,15,V2
PACE,15,V3
PACE,15,V4
PACE,15,V5
PACE,15,V6
SVTAC,7,I
SVTAC,7,II
SVTAC,7,III
SVTAC,7,AVL
SVTAC,7,AVR
SVTAC,7,AVF
SVTAC,7,V1
SVTAC,7,V2
SVTAC,7,V3
SVTAC,7,V4
SVTAC,7,V5
SVTAC,7,V6
SVTAC,11,I
SVTAC,11,II
SVTAC,11,III
SVTAC,11,AVL
SVTAC,11,AVR
SVTAC,11,AVF
SVTAC,11,V1
SVTAC,11,V2
SVTAC,11,V3
SVTAC,11,V4
SVTAC,11,V5
SVTAC,11,V6
AF,JS00803,I
AF,JS00803,II
AF,JS00803,III
AF,JS00803,aVR
AF,JS00803,aVL
AF,JS00803,aVF
AF,JS00803,V1
AF,JS00803,V2
AF,JS00803,V3
AF,JS00803,V4
AF,JS00803,V5
AF,JS00803,V6
AF,JS00781,I
AF,JS00781,II
AF,JS00781,III
AF,JS00781,aVR
AF,JS00781,aVL
AF,JS00781,aVF
AF,JS00781,V1
AF,JS00781,V2
AF,JS00781,V3
AF,JS00781,V4
AF,JS00781,V5
AF,JS00781,V6
LBBB,JS00748,I
LBBB,JS00748,II
LBBB,JS00748,III
LBBB,JS00748,aVR
LBBB,JS00748,aVL
LBBB,JS00748,aVF
LBBB,JS00748,V1
LBBB,JS00748,V2
LBBB,JS00748,V3
LBBB,JS00748,V4
LBBB,JS00748,V5
LBBB,JS00748,V6
LBBB,JS00825,I
LBBB,JS00825,II
LBBB,JS00825,III
LBBB,JS00825,aVR
LBBB,JS00825,aVL
LBBB,JS00825,aVF
LBBB,JS00825,V1
LBBB,JS00825,V2
LBBB,JS00825,V3
LBBB,JS00825,V4
LBBB,JS00825,V5
LBBB,JS00825,V6
RBBB,JS00778,I
RBBB,JS00778,II
RBBB,JS00778,III
RBBB,JS00778,aVR
RBBB,JS00778,aVL
RBBB,JS00778,aVF
RBBB,JS00778,V1
RBBB,JS00778,V2
RBBB,JS00778,V3
RBBB,JS00778,V4
RBBB,JS00778,V5
RBBB,JS00778,V6
RBBB,JS00798,I
RBBB,JS00798,II
RBBB,JS00798,III
RBBB,JS00798,aVR
RBBB,JS00798,aVL
RBBB,JS00798,aVF
RBBB,JS00798,V1
RBBB,JS00798,V2
RBBB,JS00798,V3
RBBB,JS00798,V4
RBBB,JS00798,V5
RBBB,JS00798,V6
1AVB,JS00813,I
1AVB,JS00813,II
1AVB,JS00813,III
1AVB,JS00813,aVR
1AVB,JS00813,aVL
1AVB,JS00813,aVF
1AVB,JS00813,V1
1AVB,JS00813,V2
1AVB,JS00813,V3
1AVB,JS00813,V4
1AVB,JS00813,V5
1AVB,JS00813,V6
1AVB,JS00749,I
1AVB,JS00749,II
1AVB,JS00749,III
1AVB,JS00749,aVR
1AVB,JS00749,aVL
1AVB,JS00749,aVF
1AVB,JS00749,V1
1AVB,JS00749,V2
1AVB,JS00749,V3
1AVB,JS00749,V4
1AVB,JS00749,V5
1AVB,JS00749,V6
3AVB,JS12904,I
3AVB,JS12904,II
3AVB,JS12904,III
3AVB,JS12904,aVR
3AVB,JS12904,aVL
3AVB,JS12904,aVF
3AVB,JS12904,V1
3AVB,JS12904,V2
3AVB,JS12904,V3
3AVB,JS12904,V4
3AVB,JS12904,V5
3AVB,JS12904,V6
3AVB,JS12909,I
3AVB,JS12909,II
3AVB,JS12909,III
3AVB,JS12909,aVR
3AVB,JS12909,aVL
3AVB,JS12909,aVF
3AVB,JS12909,V1
3AVB,JS12909,V2
3AVB,JS12909,V3
3AVB,JS12909,V4
3AVB,JS12909,V5
3AVB,JS12909,V6
VPB,JS00814,I
VPB,JS00814,II
VPB,JS00814,III
VPB,JS00814,aVR
VPB,JS00814,aVL
VPB,JS00814,aVF
VPB,JS00814,V1
VPB,JS00814,V2
VPB,JS00814,V3
VPB,JS00814,V4
VPB,JS00814,V5
VPB,JS00814,V6
VPB,JS00800,I
VPB,JS00800,II
VPB,JS00800,III
VPB,JS00800,aVR
VPB,JS00800,aVL
VPB,JS00800,aVF
VPB,JS00800,V1
VPB,JS00800,V2
VPB,JS00800,V3
VPB,JS00800,V4
VPB,JS00800,V5
VPB,JS00800,V6
WPW,JS02697,I
WPW,JS02697,II
WPW,JS02697,III
WPW,JS02697,aVR
WPW,JS02697,aVL
WPW,JS02697,aVF
WPW,JS02697,V1
WPW,JS02697,V2
WPW,JS02697,V3
WPW,JS02697,V4
WPW,JS02697,V5
WPW,JS02697,V6
WPW,JS21102,I
WPW,JS21102,II
WPW,JS21102,III
WPW,JS21102,aVR
WPW,JS21102,aVL
WPW,JS21102,aVF
WPW,JS21102,V1
WPW,JS21102,V2
WPW,JS21102,V3
WPW,JS21102,V4
WPW,JS21102,V5
WPW,JS21102,V6
SVT,JS18655,I
SVT,JS18655,II
SVT,JS18655,III
SVT,JS18655,aVR
SVT,JS18655,aVL
SVT,JS18655,aVF
SVT,JS18655,V1
SVT,JS18655,V2
SVT,JS18655,V3
SVT,JS18655,V4
SVT,JS18655,V5
SVT,JS18655,V6
SVT,JS22918,I
SVT,JS22918,II
SVT,JS22918,III
SVT,JS22918,aVR
SVT,JS22918,aVL
SVT,JS22918,aVF
SVT,JS22918,V1
SVT,JS22918,V2
SVT,JS22918,V3
SVT,JS22918,V4
SVT,JS22918,V5
SVT,JS22918,V6
AFIB,JS05033,I
AFIB,JS05033,II
AFIB,JS05033,III
AFIB,JS05033,aVR
AFIB,JS05033,aVL
AFIB,JS05033,aVF
AFIB,JS05033,V1
AFIB,JS05033,V2
AFIB,JS05033,V3
AFIB,JS05033,V4
AFIB,JS05033,V5
AFIB,JS05033,V6
AFIB,JS05035,I
AFIB,JS05035,II
AFIB,JS05035,III
AFIB,JS05035,aVR
AFIB,JS05035,aVL
AFIB,JS05035,aVF
AFIB,JS05035,V1
AFIB,JS05035,V2
AFIB,JS05035,V3
AFIB,JS05035,V4
AFIB,JS05035,V5
AFIB,JS05035,V6
VFIB,003208,I
VFIB,003208,II
VFIB,003208,III
VFIB,003208,aVR
VFIB,003208,aVL
VFIB,003208,aVF
VFIB,003208,V1
VFIB,003208,V2
VFIB,003208,V3
VFIB,003208,V4
VFIB,003208,V5
VFIB,003208,V6
VFIB,055676,I
VFIB,055676,II
VFIB,055676,III
VFIB,055676,aVR
VFIB,055676,aVL
VFIB,055676,aVF
VFIB,055676,V1
VFIB,055676,V2
VFIB,055676,V3
VFIB,055676,V4
VFIB,055676,V5
VFIB,055676,V6
